Elastic modulus	Materials science, Mechanics
Brandenburg Gate	Buildings and structures in Berlin, Monuments and memorials in Germany, Landmarks in Germany, Berlin Wall, Gates, 1790s establishments in Europe, 18th century establishments in Germany
Languages of the Caucasus	Caucasian languages
Lake Urmia	Geography of Iran, Lakes of Asia, Biosphere reserves
Giuseppe Piazzi	Italian astronomers, 1746 births, 1826 deaths
Vesta (mythology)	Roman gods and goddesses
Heinrich Wilhelm Olbers	1758 births, 1840 deaths, German astronomers, German physicists
Minstrel	Medieval composers
Gnathostomata	Fish
Niger River	Rivers of Africa, Guinea, Mali, Geography of Niger, Geography of Benin, Rivers of Nigeria
Flag of Mali	National flags, Mali
Coat of arms of Mali	Mali, National coats of arms
Pour l'Afrique et pour toi, Mali	National anthems, Mali
List of heads of state of Mali	Lists of heads of state, Heads of state, Presidents of Mali, History of Mali
List of prime ministers of Mali	Prime Ministers of Mali, History of Mali, Heads of government
French Sudan	History of Mali
Cunnilingus	Sexual acts
Agnatha	Agnatha
Henry Cavendish	1731 births, 1810 deaths, English physicists, English chemists
Ornamentation (music)	Musical notation, Musical performance techniques
Endocrine system	Endocrine system, Hormones, Glands
Sponge (tool)	Cleaning tools
Tyne and Wear	1974 establishments in England, Tyne and Wear, Ceremonial counties of England
Osteichthyes	Bony fish
Aquarium (group)	Russian musical groups, Rock bands, Reggae bands, Musical groups established in 1972, 20th century establishments in the Soviet Union
Chondrichthyes	Cartilaginous fish
Alexey Ekimyan	1927 births, 1982 deaths, Armenian composers, Soviet people, People from Baku
Mikael Tariverdiev	Armenian composers, 1931 births, 1996 deaths, People from Tbilisi
Bergen	Bergen, Port cities and towns of the North Sea
1456	1456
Winchester	County towns in England, Settlements in Hampshire, Winchester
Axial tilt	Celestial mechanics
Dollhouse (TV series)	American drama television series, American science fiction television series, Whedonverse, Fox television series, Television series created by Joss Whedon, English-language television programs
Hydrostatic equilibrium	Astrophysics
Right ascension	Astronomy
Declination	Astronomy
Retrograde and direct motion	Astrology, Orbits
Planetesimal	Minor planets, Planets
Achondrite	Meteorites
Basalt	Minerals, Igneous rocks
Aswan	Cities in Egypt
Carl Barks	1901 births, 2000 deaths, Deaths from leukemia, People from Grants Pass, Oregon, American animators, Disney animators, Writers from Oregon, American comics artists
Jay-Z	1969 births, Living people, African American musicians, Grammy Award winners, Businesspeople from New York City, American rap musicians from New York, Singers from New York City, Jay Z
Ripon	Settlements in North Yorkshire, Cities in England
What's It Gonna Be	Beyoncé songs, 2003 songs
Senegal River	Senegal, Mauritania, Rivers of Africa
Diprotodont	Diprotodonts, Marsupials of Australia
Live in Atlanta	Destiny's Child albums, Atlanta, Georgia
Bambara language	Niger-Congo languages, Mali
Proboscidea	Elephants
Adrar des Ifoghas	Mali
Kokoreç	Meat dishes
Ub Iwerks	1901 births, 1971 deaths, Disney animators
Endocrine gland	Endocrine system, Glands
Thyroid	Glands, Endocrine system
Never Mind the Bollocks, Here's the Sex Pistols	1977 albums, Sex Pistols, Punk albums
Johann Christian Bach	1735 births, 1782 deaths, Bach family, Classical era composers, German composers, People from Leipzig
Pelycosaur	Pelycosaurs, Fossils
Therapsid	Synapsids, Therapsids
Toccata	Musical forms
Taylor Swift	1989 births, American country singers, American feminists, American pop singers, American singer-songwriters, Living people, Singers from Pennsylvania, Taylor Swift
Internal medicine	Medical specialties
City status in the United Kingdom	Local government in the United Kingdom, Lists of cities in Europe, United Kingdom-related lists, Cities in the United Kingdom, Lists of cities by country
Lockheed P-38 Lightning	United States Army aircraft, Lockheed & Lockheed-Martin aircraft, World War II American aircraft
Messerschmitt Bf 109	World War II German aircraft
Messerschmitt Me 262	World War II German aircraft
Osmosis	Cell biology, Thermodynamics
Mikoyan-Gurevich MiG-17	Soviet military aircraft, Military of China, Vietnamese military aircraft, Polish military aircraft, Vietnam War aircraft
Mikoyan	Companies of Russia, Aircraft companies, 1939 establishments, 1930s establishments in Europe, Transport in Russia
Neptune (mythology)	Roman gods and goddesses
Sol Invictus	Roman gods and goddesses
Optical printer	Printers
Lares	Roman gods and goddesses
Charter Trustees	Local government in the United Kingdom
Quirinus	Roman gods and goddesses
Kreisfreie stadt	Political systems, Politics of Germany
Jet aircraft	Aircraft
Egypt–Israel Peace Treaty	1979, 20th century in Egypt, 1970s in Israel, 1970s treaties
Downtown	Cities
IEEE 802.11	Computer protocols, Computer networking
Wireless LAN	Computer networking
Bluetooth	Computer protocols, Computer networking
Noraduz	History of Armenia
1921 New York Yankees season	1921 in the United States, New York Yankees, Sports in New York City, 1920s in New York (state), 20th century in New York City
Hominidae	Hominids
Acropolis of Athens	Buildings and structures in Athens, Ancient Athens
Toki Pona	Constructed languages
Canadian Hurricane Centre	Canada
V-type asteroid	Asteroids
Vulcan (Star Trek)	Fictional races, Star Trek
Keck Observatory	Observatories in the United States, Buildings and structures in Hawaii
HED meteorite	Meteorites
Metamorphic rock	Rocks
Extrusion	Geology
Intrusion	Geology, Igneous rocks
Radiation pressure	electromagnetism
Kirkwood gap	Asteroids, Jupiter
Ca-Al-rich inclusions	Meteorites
Eucrite	Meteorites
81P/Wild	Comets
Barrel (weapons)	Firearm components
Shell (projectile)	Artillery
Ion thruster	Ion propulsion, Rockets
Pistol	Pistols
Submachine gun	Submachine guns
Elena V. Pitjeva	Russian astronomers, Living people, Year of birth missing (living people)
Socialist Reich Party	Former political parties in Germany, Neo-Nazism, West Germany, 1949 establishments in Germany, 1950s disestablishments in Germany
International Fight League	Mixed martial arts, 2006 establishments in the United States, 2008 disestablishments in the United States
Anton Chekhov	1860 births, 1904 deaths, Deaths from tuberculosis, Disease-related deaths in Germany, Russian writers
Labour and Social Justice – The Electoral Alternative	2005 establishments in Europe, 2007 disestablishments in Europe, Former political parties in Germany, The Left (Germany), 2000s establishments in Germany, 2000s disestablishments in Germany
Deutsche Reichspartei	Former political parties in Germany, Neo-Nazism, West Germany, 1964 disestablishments
Fukuoka Prefecture	Fukuoka Prefecture, Prefectures of Japan
Evening Prayer (Anglican)	Anglicanism, Christian music
Regierender Bürgermeister	Government of Germany, Mayors of Berlin
Alice in Chains	1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American heavy metal bands, Grunge bands, American hard rock bands, Alternative metal bands, Musical groups from Seattle, Washington, Musical groups established in 1987, 1987 establishments in the United States, 1980s establishments in Washington (state), Musical groups disestablished in 2002, 2002 disestablishments in the United States, 2006 establishments in the United States, Musical groups established in 2006, 2000s establishments in Washington (state), 2000s disestablishments in Washington (state)
Lutz Graf Schwerin von Krosigk	1887 births, 1977 deaths, Chancellors of Nazi Germany, German military personnel of World War I, Government ministers of Nazi Germany, Government ministers of the Weimar Republic, Politicians from Saxony, Politicians of the Nazi Party, Rhodes scholars
Cockney Rejects	English punk bands
East End of London	Areas of London
Suidae	Pigs
Trdat of Iberia	History of Georgia (country)
The Nutcracker	Compositions by Pyotr Ilyich Tchaikovsky, Ballets by Marius Petipa, Ballets by Lev Ivanov, Ballets first performed by the St. Petersburg Imperial Ballet
Kingdom of Sophene	History of Armenia, 3rd-century BC establishments, 1st-century BC disestablishments, Establishments in Armenia
Lady Katherine Grey	1539 births, 1568 deaths, English nobility
Elongation	Celestial mechanics
Conjunction (astronomy and astrology)	Astrology, Astronomical phenomena
Opposition (astronomy and astrology)	Astrology, Astronomical phenomena
Ophiuchus	Constellations, Constellations listed by Ptolemy
George Boleyn	1500s births, 1536 deaths, People from Norfolk
Tsitsernakaberd	Armenian Genocide, Monuments and memorials
Mary Boleyn	1499 births, 1543 deaths, People from Kent
Cubic centimetre	Units of volume
Geometric albedo	Astrophysics
Welcome to the Black Parade	2006 songs, My Chemical Romance
Remembrance Day	Holidays, Australia, Canada, Anniversary days in the United Kingdom
Division (botany)	Plant taxonomy
Leona Lewis	Leona Lewis, 1985 births, Black British musicians, British R&B musicians, English pop singers, Singer-songwriters from London, The X Factor winners
Trinny Woodall	1965 births, Living people, English television presenters, English journalists
Susannah Constantine	1962 births, Living people, English television presenters
Anna Wintour	1949 births, Living people, Journalists from London
Kingdom of Saxony	1800s establishments in Germany, 1918 disestablishments in Germany, Former states in Germany, Saxony, 1806 establishments in Europe
Saxe-Meiningen	States of the Confederation of the Rhine, States of the German Confederation, States of the German Empire, States of the Holy Roman Empire, States of the North German Confederation, States of the Weimar Republic, Thuringia, 1675 establishments, 1670s establishments in Europe, 17th century establishments in Germany, 1920 disestablishments in Europe, 20th century disestablishments in Germany
Eilenburg	Nordsachsen Rural District
The Misfits	1970s American music groups, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American punk bands, American heavy metal bands, American hard rock bands, Musical groups from New Jersey, Musical groups established in 1977, Musical groups disestablished in 1983, Musical groups established in 1995, 1977 establishments in the United States, 1970s establishments in New Jersey, 1983 disestablishments in the United States, 1980s disestablishments in New Jersey, 1995 establishments in the United States, 1990s establishments in New Jersey
Vistula	Rivers of Poland
Sunnah	Islam, Arabic words and phrases, Religious terminology
Al-Aqsa Mosque	Buildings and structures in Jerusalem, Mosques, Religion in Israel
Balkh Province	Provinces of Afghanistan
Dwight Hicks	Indianapolis Colts players, San Francisco 49ers players, American movie actors, Actors from New Jersey, Sportspeople from New Jersey, American television actors, 1956 births, Living people
Surface gravity	Astrophysics
Rotation period	Celestial mechanics
Angular size	Measurement
Albedo	Optics
Robin Olds	1922 births, 2007 deaths, American military people, Military people from Hawaii, American aviators
Lady Mary Grey	1545 births, 1578 deaths, House of Tudor, English nobility
German-speaking Community of Belgium	Regions of Belgium, Wallonia
County Durham	County Durham, Ceremonial counties of England
Balkan Mountains	Balkan Mountains
Carpathian Mountains	Mountain ranges of the Carpathians, Carpathians
Squamata	Scaled reptiles
Pingu	Animated characters, 1990 television series debuts, 1990s television series, 2000s television series, 2006 television series endings, Fictional birds, Swiss culture
Tatra mountains	Mountain ranges of the Carpathians, Geography of Poland, Geography of Slovakia
Frank G. Wells	1932 births, 1994 deaths, Aviation deaths, Businesspeople from California, Disney people
Bodhi Tree	Trees, Buddhism, Moraceae
Bob Hope	Academy Award Honorary Award winners, Actors from California, Actors from Cleveland, Ohio, American centenarians, American comedians, American movie actors, American television actors, Comedians from London, Comedians from Ohio, Deaths from pneumonia, Infectious disease deaths in the United States, Kennedy Center honorees, Naturalized citizens of the United States, Congressional Gold Medal recipients, Screen Actors Guild Award winners, 1903 births, 2003 deaths, Honorary Knights Commander of the Order of the British Empire
Dawn French	English comedians, English movie actors, English stage actors, English television actors, 1957 births, Living people
Port-au-Prince	1749 establishments, Port-au-Prince, Establishments in the French colonial empire, 1740s establishments in North America
Mikoyan-Gurevich MiG-25	Soviet military aircraft, Indian military aircraft
Semi-major and semi-minor axes	Orbits
Apsis	Orbits
Orbital eccentricity	Orbits
Astronomical unit	Astronomical distances
Degree (angle)	Angles
Epoch (astronomy)	Celestial mechanics
Julian day	Days
Meatball	Meat dishes
Mandé people	Ethnic groups in Africa, History of Mali
Amadou Toumani Touré	Presidents of Mali, 1948 births, 2020 deaths
Ghana Empire	History of Mali, 750 establishments, 1076 disestablishments, 8th-century establishments in Africa, Disestablishments in Africa
Mali Empire	History of Mali, Former countries in Africa, 1235 establishments, 1645 disestablishments, 1230s establishments in Africa, Disestablishments in Africa
Timbuktu	Cities in Mali
Jeanne Demessieux	1921 births, 1968 deaths, 20th century composers, Disease-related deaths in France, French composers, French musicians, French organists, People from Montpellier, Women composers
House mouse	Old World rats and mice, Model organisms
Scientology	Scientology
Mike Gravel	1930 births, 2021 deaths, Deaths from multiple myeloma, People from Springfield, Massachusetts, 2020 United States presidential candidates, 2008 United States presidential candidates, United States senators from Alaska, Politicians from Massachusetts, US Democratic Party politicians, Legislative speakers, US Libertarian Party politicians, Cancer deaths in California, American political activists, American political commentators, American political writers, Writers from Massachusetts, Writers from Alaska, Businesspeople from Massachusetts, Businesspeople from Alaska, People from Anchorage, Alaska
Iva Zanicchi	1940 births, Living people, Former MEPs, Italian singers, MEPs for Italy, Musicians from Emilia-Romagna, Politicians from Emilia-Romagna, Pop singers
North German Confederation	19th century in Germany, Former German countries, Postage stamps, 1866 establishments in Europe, 1860s establishments in Germany, 1870 disestablishments, 1870s disestablishments in Europe, 19th century disestablishments in Germany
MiG Alley	Korean War, United States Air Force, Military aviation
NetBackup	Software
Argument of periapsis	Orbits
Longitude of the ascending node	Orbits
Mean anomaly	Orbits
Orbital period	Orbits
Orbital speed	Orbits
101	101
Continental drift	Plate tectonics
Saxe-Altenburg	Ernestine duchies, States of the German Confederation, States of the German Empire, States of the Holy Roman Empire, States of the North German Confederation, States of the Weimar Republic, Thuringia
Porcupine	Rodents
The Silvia Night Show	2007 television series debuts
Jakten på Billie Jo	2000 television series debuts, Reality television series
Ernestine duchies	Thuringia, Ernestine duchies
Sri Maha Bodhi	Buddhism, World Heritage Sites
List of children of the Presidents of the United States	Children of Presidents of the United States, Lists of American people
Dolores Hope	American centenarians, American musicians, Singers from New York City, 1909 births, 2011 deaths
Miranda (state)	States of Venezuela
Miranda (novel)	1924 books, Novels
Capybara	Rodents, Mammals of South America
Martha Jefferson	1748 births, 1782 deaths, Thomas Jefferson, People from Virginia
Great Awakening	History of the United States
Lycopene	Chemicals
Housefly	Flies
Chemical engineering	Chemistry, Engineering
House of Windsor	House of Windsor
Jocelyne Saab	1948 births, 2019 deaths, Deaths from endometrial cancer, Cancer deaths in France, Journalists, Movie directors, People from Beirut
Ulva	Argyll and Bute, Inner and Outer Hebrides
Sugar Ray Robinson	1921 births, 1989 deaths, African-American boxers, Deaths from Alzheimer's disease, Deaths from diabetes, Disease-related deaths in the United States, Sportspeople from Georgia (U.S. state), Sportspeople from New York City
Randolph Turpin	1928 births, 1966 deaths, Black British sportspeople, British boxers, British criminals, Criminals who committed suicide, Sportspeople from Warwickshire, Sportspeople who committed suicide, Suicides by firearm, Suicides in the United Kingdom
Maple	Trees, Sapindaceae
Tilde Fröling	1980 births, Living people, Swedish actors, Swedish singers, Swedish television presenters, Reality television participants
Marie Picasso	1979 births, Big Brother contestants, Living people, Reality show winners, Swedish models, Swedish singers
Eulipotyphla	Eulipotyphla
Bad Kissingen	Spa towns in Germany
Hostel	Accommodations, Travel
Reuters	Media in the United Kingdom
Associated Press	Media in the United States, Companies based in New York City, Manhattan
BBC News (TV channel)	1997 establishments in the United Kingdom, BBC Online, BBC television channels
Saxe-Jena	States of the Holy Roman Empire, Thuringia
Saxe-Weimar-Eisenach	1809 establishments, 1918 disestablishments in Germany, House of Wettin, States of the Confederation of the Rhine, States of the German Confederation, States of the German Empire, States of the Holy Roman Empire, States of the North German Confederation, States of the Weimar Republic, Thuringia, Weimar, 1800s establishments in Germany
Alligatoridae	Crocodilia
Gaza	Cities in Palestine, Gaza Strip
Grand duchy	Forms of government, Royalty and nobility
António de Oliveira Salazar	1889 births, 1970 deaths, Former dictators, Prime Ministers of Portugal
Princess Nikki	2006 British television series debuts, 2006 British television series endings, 2000s British television series, Channel 4 reality television programmes
James Van Der Beek	1977 births, Living people, Actors from Connecticut, American movie actors, American television actors
Dawson's Creek	1998 American television series debuts, 2003 American television series endings, 1990s American drama television series, 1990s teen television series, 2000s American drama television series, 2000s teen television series, American teen drama television series, Television series set in Massachusetts, WB network shows, English-language television programs, The WB original programming
General Hospital	1960s American television series, 1960s drama television series, 1970s American television series, 1970s drama television series, 1970s American workplace television series, 1980s American drama television series, 1980s American workplace television series, 1980s soap operas, 1980s workplace drama television series, 1990s American drama television series, 1990s American workplace television series, 1990s soap operas, 1990s workplace drama television series, 2000s American drama television series, 2000s American workplace television series, 2000s soap operas, 2000s workplace drama television series, 2010s American drama television series, 2010s American workplace television series, 2010s soap operas, 2010s workplace drama television series, ABC network shows, American medical television series, American soap operas, American workplace drama television series, Television series set in New York, English-language television programs
Popstars	Reality television series
Nicole Scherzinger	1978 births, Living people, American adoptees, Pussycat Dolls, Writers from Louisville, Kentucky, Writers from Hawaii, Musicians from Hawaii, Musicians from Louisville, Kentucky, American pianists, People from Honolulu, Singers from Hawaii, Singers from Louisville, Kentucky, Television personalities from Kentucky
Girls Aloud	2002 establishments in England, 2000s British music groups, 2010s British music groups, 2013 disestablishments in the United Kingdom, British girl groups, British pop music groups, Girls Aloud, Musical groups established in 2002, Musical groups disestablished in 2013, Musical groups from London, Musical quintets
Wulfila Bible	Bible versions
Plague of Athens	Infectious diseases, Ancient Greece
430 BC	430 BC
Peloponnesian War	Wars, Ancient Greece
429 BC	429 BC
Saxe-Gotha-Altenburg	House of Wettin, States of the Confederation of the Rhine, States of the German Confederation, States of the Holy Roman Empire, Thuringia
Thucydides	460 BC births, 395 BC deaths, Ancient Greek historians
Piraeus	Settlements in Greece
Rhône	Rivers of France, Rivers of Switzerland, Occitanie, Provence-Alpes-Côte d'Azur, Auvergne-Rhône-Alpes
Luis Egidio Meléndez	1716 births, 1780 deaths, Spanish painters, People from Naples
Saxe-Hildburghausen	House of Wettin, States of the Confederation of the Rhine, States of the German Confederation, States of the Holy Roman Empire, Thuringia
Augustine of Hippo	354 births, 430 deaths, Ancient Roman writers, Christian mystics, Christian saints, Christian theologians, Converts to Christianity, Philosophers, Berber people
House of Wettin	House of Wettin, Ernestine duchies, Holy Roman Empire
Durham	Durham
Angelic Upstarts	English punk bands
Anti-fascism	Discrimination, Political movements, Fascism
History of the Peloponnesian War	Wars, Ancient Greece
Historiography	History
Historical method	History
Primary source	History
Secondary source	History, Science
Breinigerberg	Villages in North Rhine-Westphalia
Document	Documents
International Standard Book Number	Publishing, Book terminology, ISO standards
Recording	Engineering
Pedro Santana, Elías Piña	Settlements in Dominican Republic, 1952 establishments in the Dominican Republic
Visual system	Vision
Microform	Photography, Storage devices
Analog signal	Physics, Electronics
Microphone	Sound, Engineering, Data input, Audio technology
Digital signal	Engineering, Telecommunications
Pneumatics	Mechanics
Duchy of Saxe-Gotha	1572 disestablishments, 1640 establishments, House of Wettin, States of the Holy Roman Empire, Thuringia, 1640s establishments in Europe
Seafloor spreading	Oceanography, Plate tectonics
Comendador, Elías Piña	Settlements in Dominican Republic, 1868 establishments, 1860s establishments in the Dominican Republic
Emily Greene Balch	1867 births, 1961 deaths, Writers from Massachusetts, American Nobel Prize winners
Chiara Zanni	1978 births, Living people, Canadian movie actors, Canadian voice actors, Canadian television actors, People from Vancouver
Antoni Lange	1863 births, 1929 deaths, Jewish writers, Polish novelists, Philosophers, Polish playwrights, Polish poets, Polish Jews, Translators, Writers from Warsaw
Curie (unit)	Old units of measurement
Fjord	Gulfs
Raccoon	Procyonids, Mammals of North America, Omnivores
Eliza Dushku	1980 births, Living people, American movie actors, Actors from Massachusetts, American television actors, Whedonverse
Sandy Robson	1973 births, Canadian television actors, Living people, People from Ontario, Canadian television presenters
Lord's Prayer	Christian prayers
Service (music)	Musical forms, Christian music
Space station	Space stations
Van de Graaff Generator	Machines, Electricity
Time server	computers, internet
Laura Prepon	1980 births, Living people, American movie actors, American television actors, American voice actors, Actors from New Jersey, Scientologists
Ashley Massaro	1979 births, 2019 deaths, Sportspeople who committed suicide, Suicides by hanging in the United States, American professional wrestlers, Female professional wrestlers, Sportspeople from New York
Melina Perez	1979 births, Living people, American professional wrestlers, Former WWE wrestlers, Female professional wrestlers, Sportspeople from Los Angeles, California
Amy Dumas	1975 births, American punk musicians, American professional wrestlers, Female professional wrestlers, Former WWE wrestlers, Living people, People from Fort Lauderdale, Florida, Singers from Florida, Sportspeople from Atlanta, Georgia, Sportspeople from Florida, WWE Hall of Fame
Mafic	Rocks
Specific gravity	Physics
Rosetta Stone	Ancient Egypt, British Museum
Curtain	Cloth
Criminal record	Criminal justice
Visitor	Social sciences
Espresso	Coffee, Italian food
Damson	Plums
Half-time	Sports words
Fluid mechanics	Fluid mechanics
Fluid statics	Fluid mechanics
Meroë	History of Africa, Cities in Sudan
Saxe-Eisenach	1596 establishments, 1590s establishments in Europe, 16th century establishments in Germany, 1638 disestablishments, 1640 establishments, 1640s establishments in Europe, 17th century establishments in Germany, 1644 disestablishments, 1640s disestablishments in Europe, 1662 establishments, 1660s establishments in Europe, 1809 disestablishments, 1800s disestablishments in Germany, House of Wettin, States of the Confederation of the Rhine, States of the Holy Roman Empire
Laxative	Drugs, Digestive system
Jebel Barkal	Mountains of Africa, Sudan
Dassault Mirage III	French military aircraft, Dassault Aviation
Herbaceous plant	Types of plants
Trophy	Awards
Nickel Creek	Bluegrass bands, Musical groups from California, Grammy Award winners
Six-Day War	1967 in Asia, 20th century in Egypt, Arab–Israeli conflict, 20th century in Jordan, Wars involving Egypt, Wars involving Israel, Wars involving Syria, 1960s in Israel, June events
Australopithecus afarensis	Australopithecines
Nakalipithecus	Fossils, Hominids
Defoliant	Poisons, Chemical compounds
Phoenix lights	1990s in Arizona, 1997 in the United States, March events
272	272
909	909
Testing English as a foreign language	English language
Eumetazoa	Groups of phyla
Bilateria	Groups of phyla
Lyre	Plucked string instruments, Early musical instruments
Oceanic crust	Geology
Continental crust	Geology
List of cities in the United Kingdom	Cities in the United Kingdom, Lists of cities in Europe, United Kingdom-related lists, Lists of cities by country
Shift work	Employment
Étang Saumâtre	Lakes of North America, Geography of Haiti
Grumman F6F Hellcat	United States Navy aircraft, United States Marine Corps aircraft, British military aircraft, French military aircraft, World War II American aircraft, Grumman aircraft
Grumman F4F Wildcat	United States Navy aircraft, United States Marine Corps aircraft, British military aircraft, World War II American aircraft, Grumman aircraft
Mitsubishi A6M Zero	Military of Japan, World War II Japanese aircraft, Mitsubishi
CONCACAF Champions League	Football competitions
Confederation of North, Central American and Caribbean Association Football	Football organizations
Mali Federation	History of Mali, History of Senegal, Former countries in Africa, 1959 establishments, 1960 disestablishments, 1960s disestablishments in Africa
Value Added Tax	Government, Taxation
Saxe-Coburg	1596 establishments, 1590s establishments in Europe, 16th century establishments in Germany, 1633 disestablishments, Disestablishments in Germany, 1681 establishments, 1680s establishments in Europe, 17th century establishments in Germany, 1699 disestablishments, House of Wettin, States of the Holy Roman Empire
Deuterostome	Groups of phyla
Saxe-Coburg-Eisenach	House of Wettin
Dennis Rader	1945 births, Living people, American prisoners, American serial killers, People from Kansas
Tom and Jerry Kids	1990 television series debuts, Children's television series, Animated television series, Cartoon Network series, Spacetoon shows, English-language television programs, Tom and Jerry
Hannelore Kohl	1933 births, 2001 deaths, Drug-related suicides, German writers, Order of Merit of the Federal Republic of Germany, People from Berlin, Suicides in Germany, Writers who committed suicide
Amber Benson	1977 births, Living people, Actors from Birmingham, Alabama, American Jews, American movie actors, American movie directors, American screenwriters, American television actors, Whedonverse, Writers from Alabama
Walter Scheel	1919 births, 2016 deaths, Chancellors of Germany, Former members of the German Bundestag, German military personnel of World War II, Government ministers of Germany, Nazis, Order of Merit of the Federal Republic of Germany, People from Solingen, Politicians from North Rhine-Westphalia, Politicians of the Free Democratic Party of Germany, Presidents of Germany, Vice Chancellors of Germany
Norman Mailer	1923 births, 2007 deaths, American novelists, Deaths from renal failure, Disease-related deaths in New York City, Journalists from New Jersey, Journalists from New York, Movie directors from New Jersey, Movie directors from New York, Movie producers from New Jersey, Movie producers from New York, Pulitzer Prize winners, Screenwriters from New Jersey, Screenwriters from New York
The Lion King	1994 movies, 1990s animated movies, 2010s 3D movies, American epic movies, American family movies, American musical movies, Disney animated movies, Disney Renaissance, English-language movies, Golden Globe Award winning movies, Movies about animals, Movies about lions, Movies based on plays by William Shakespeare, Movies composed by Hans Zimmer, Movies composed by John Powell, Movies set in Africa, Movies that won the Best Original Song Academy Award, IMAX movies, The Lion King, 3D re-releases
Kelly Osbourne	1984 births, Living people, English singers, English movie actors, English television actors, Participants in American reality television series
Marie-Antoine Carême	1784 births, 1833 deaths, Burials at Montmartre Cemetery, Paris, French chefs, Writers from Paris
X Window System	Software
Mammaliaformes	Theriodonts
Pineal gland	Sleep, Glands, Hormones
Gamma-Hydroxybutyric acid	Drugs
Reichsmark	Former currencies of Europe, Economy of Germany, History of Germany
Co-operative Party	Political parties in the United Kingdom, Co-operative movement
Bánica	Settlements in Dominican Republic, 1504 establishments in the Spanish Empire
Quillaja saponaria	Rosaceae
Clarence E. Anderson	1922 births, Living people, American military people, United States Air Force, People from Oakland, California
Wild Weasel	United States Air Force, Vietnam War aircraft, United States military aircraft
Republic F-105 Thunderchief	United States Air Force aircraft, Vietnam War aircraft
Labour Co-operative	Labour Party (UK), Co-operative movement
Heraldic badge	Heraldry
Postal code	Postal service
Bethlehem Housing Authority	Pennsylvania, Accommodations, 1939 establishments in the United States, 1930s establishments in Pennsylvania
Les Six	French composers
Georges Auric	1899 births, 1983 deaths, 20th century composers, French composers, People from Montpellier
The Left (Germany)	2007 establishments in Germany, Berlin, Socialism, The Left (Germany)
Louis Durey	1888 births, 1979 deaths, French composers, 20th century composers
Arthur Honegger	1892 births, 1955 deaths, 20th century composers, Cardiovascular disease deaths in France, Deaths from myocardial infarction, People from Le Havre, Swiss composers
Darius Milhaud	1892 births, 1974 deaths, 20th century composers, French composers, Autobiographers, Aix-en-Provence
Saône	Rivers of France, Grand Est, Bourgogne-Franche-Comté, Auvergne-Rhône-Alpes
Hereford	County towns in England, Hereford
The finger	Profanity, Non-verbal communication
Ariel (moon)	Uranus' moons
Trondheim	Trondheim
Trondheim Region	Trondheim
Electric potential	Electricity
Christine Teipel	1621 births, 1630 deaths, Executed German people, People executed for witchcraft, People from North Rhine-Westphalia
Ajax (programming)	Internet, JavaScript
City of Bradford	Bradford, 1847 establishments in Europe, 1840s establishments in England
Lithuanian litas	Former currencies of Europe, Lithuania
Maria Holl	1549 births, 1634 deaths, German people
Duduk	Woodwind instruments, Masterpieces of the Oral and Intangible Heritage of Humanity
Droopy Dog	Animated characters, Fictional dogs
Iraqi Kurdistan	Kurdistan, Iraq
Biohazzard Records	Independent record labels, Companies of Germany, Entertainment in Germany
Arbil, Iraq	Cities in Iraq, Kurdistan, Round cities
Ruhr Area	Geography of North Rhine-Westphalia, Regions of Germany
Iraqi dinar	Currency of Asia, Iraq
Massoud Barzani	1946 births, Living people, Iraqi politicians, Kurdish politicians, Presidents (government)
Nechervan Idris Barzani	1966 births, Living people, Iraqi politicians, Kurdish politicians, Prime ministers
Credit card	Money
Lebanese Civil War	1970s in Asia, 1980s in Asia, 1990s in Asia, Civil wars, Wars involving Israel, Wars involving Lebanon, Wars involving Syria, 20th century in Israel, 20th century in Lebanon, 20th century in Syria
Mosul	Cities in Iraq
Mayonnaise	Condiments
Francis Poulenc	1899 births, 1963 deaths, 20th century composers, French composers
Germaine Tailleferre	1892 births, 1983 deaths, 20th century composers, French composers, Women composers
Cladistics	Cladistics
Kimbo Slice	1974 births, 2016 deaths, Deaths from heart failure, Bahamian people, American mixed martial artists
Pangaea	Supercontinents
Fatah	Nationalist organizations in Palestine, Political parties in Asia, Politics of Palestine, Socialist International, West Bank
Balkh	Cities in Afghanistan
Hessischer Rundfunk	German broadcasting companies, Frankfurt
As Sulaymaniyah Province	Provinces of Iraq
Arbil Province	Provinces of Iraq
Dahuk Province	Kurdistan, Provinces of Iraq
Coruscant	Star Wars planets
Digital Video Broadcasting	Television technology
Linguine	Pasta
Egg (food)	Breakfast foods, Egg
List of egg dishes	Egg dishes, Food-related lists
Leitmotif	Musical forms, Opera terminology
Pointe shoes	Footwear, Ballet
Provinces of Iraq	Provinces of Iraq
Brussels-Capital Region	Brussels-Capital Region
Vaishali	Cities in India, History of India, Settlements in Bihar
Licchavi	History of India, Nepal, Bihar
Republicanism	Politics
Tabriz	Cities in Iran, East Azarbaijan Province
Saber–toothed cat	Fossils, Sabretooth cats
Prosper Mérimée	1803 births, 1870 deaths, French writers
Jerry Hsu	1981 births, Living people, American skateboarders, Sportspeople from California, People from San Jose, California
Barnes & Noble	Companies based in New York City, Books, 1873 establishments in the United States, 1870s establishments in New York (state)
