Boeing Model 40	Boeing aircraft
Miriam Palacios	1933 births, People from La Araucanía Region, Chilean television actors, Chilean stage actors, Chilean movie actors, 2013 deaths, Deaths from Alzheimer's disease
Queen Mary's Peak	Volcanoes of Africa, Saint Helena, Ascension and Tristan da Cunha
Carlos Schneeberger	1902 births, 1973 deaths, Chilean footballers, People from La Araucanía Region
The Smurfs (movie)	2011 comedy movies, 2011 animated movies, American comedy movies, American animated movies, Movies based on books, English-language movies, Movies directed by Raja Gosnell, Smurfs
The Smurfs 2	2013 comedy movies, 2013 animated movies, American comedy movies, American animated movies, English-language movies, Smurfs, Movies directed by Raja Gosnell
It's a Mad, Mad, Mad, Mad World	1963 comedy movies, Academy Award winning movies, American action movies, American adventure movies, American comedy movies, American epic movies, English-language movies, Movies directed by Stanley Kramer
Mazu (goddess)	Taoism, Buddhist gods and goddesses, Chinese gods and goddesses
Banquo	Characters in Shakespeare's plays
Rex Harrison	1908 births, 1990 deaths, Academy Award winners, Actors from Lancashire, Cancer deaths in the United States, Deaths from pancreatic cancer, English movie actors, English stage actors, English television actors, Golden Globe Award winners, Tony Award winners
My Fair Lady (movie)	1964 drama movies, 1960s musical movies, American musical movies, American drama movies, Movies directed by George Cukor
Sugar Hill, Georgia	Gwinnett County, Georgia, Cities in Georgia (U.S. state)
Spanglish (movie)	2004 comedy-drama movies, 2000s romantic comedy movies, 2000s romantic drama movies, American comedy-drama movies, American romantic comedy movies, American romantic drama movies, English-language movies, Spanish-language movies
Keeping Up Appearances	1990 British television series debuts, 1995 British television series endings, 1990s British sitcoms, BBC television sitcoms, Histrionic personality disorder in fiction, Narcissism in fiction, Television series about dysfunctional families, Television series about marriage, Television series about sisters, English-language television programs
Gold farming	Online games
Norcross, Georgia	Gwinnett County, Georgia, Cities in Georgia (U.S. state)
Atlanta metropolitan area	Atlanta, Georgia, Metropolitan areas of the United States
Boyce Avenue	Musical groups from Florida, 2000s music groups, American pop music groups, Sarasota, Florida, Musical groups established in 2004, 2004 establishments in Florida
Division of Fraser	Electoral divisions of Australia, 1974 establishments in Australia
Kelut	Volcanoes of Indonesia
Vulcanization	Chemical processes
Jerry Siegel	1914 births, 1996 deaths, Jewish American writers, American comics writers, American comics artists, Writers from Cleveland, Ohio, Unexplained deaths
Edinburgh of the Seven Seas	Saint Helena, Ascension and Tristan da Cunha
Harry Lennix	Satellite Award winners, 1964 births, Living people, African American actors, American movie actors, American television actors, American voice actors, American stage actors, Actors from Chicago
Pannotia	Supercontinents
Nintendo e-Reader	Nintendo hardware
The Sound of Music (movie)	1965 drama movies, 1960s musical movies, Disney movies, American biographical movies, American family movies, American musical comedy movies, American romantic drama movies, Best Picture Oscar, English-language movies, Historical movies, Movies about families, Movies about weddings, Movies based on plays, Movies set in Austria, Movies set in the 1930s, World War II movies, Movies directed by Robert Wise
Camelot (musical)	Broadway musicals, 1960s musicals, Musicals based on books
James Webb Space Telescope	Space telescopes
Does This Look Infected?	2002 albums, Punk albums, Sum 41 albums
Underclass Hero	2007 albums, Pop punk albums, Sum 41 albums, Island Records albums, Rock albums
Screaming Bloody Murder	2011 albums, Sum 41 albums, Punk albums
Lagrange point	Solar System, Satellites, Mechanics
Chur	Municipalities of Graubünden, Capital cities in Switzerland
Chaldean Rite	Eastern Christian denominations
Derek McLane	1958 births, Living people, Designers, Harvard University alumni, Yale University alumni
Stangmore Park	Football stadiums in Northern Ireland
Amblyopia	Vision, Diseases and disorders of the eye
Seiko Matsuda	1962 births, Singers from Fukuoka Prefecture, Actors from Fukuoka Prefecture, Living people
Sayaka Kanda	1986 births, Living people, Singers from Tokyo, Actors from Tokyo
Nena	1960 births, Living people, German pop singers, German rock musicians, Musicians from North Rhine-Westphalia
Eros Ramazzotti	1963 births, Living people, Entertainers from Rome, Italian singers, Songwriters
Flash Forward	Animated television series, Television series by Disney, English-language television programs, 1995 television series debuts, 1997 television series endings
Bug Juice	Reality television series, Television series by Disney, English-language television programs, 1998 television series debuts, 2001 television series endings
The Famous Jett Jackson	1998 television series debuts, Television series by Disney, 2001 television series endings, 1998 establishments in the United States, 1998 establishments in Canada, 2001 disestablishments in the United States, 2001 disestablishments in Canada
The Jersey	1999 American television series debuts, Television series by Disney, 2004 American television series endings, English-language television programs
Totally Circus	2000 television series debuts, Television series by Disney, English-language television programs
In a Heartbeat	2000 television series debuts, Television series by Disney
Totally Hoops	2001 American television series debuts, Television series by Disney, 2001 American television series endings, English-language television programs
The Proud Family	2001 American television series debuts, Television series by Disney, Fictional families, Television series by Buena Vista Television, 2005 American television series endings, English-language television programs
List of Disney Channel series	Television series by Disney, Lists of television series
Ana Johnsson	Swedish singers, 1977 births, Living people, People from Gothenburg
Sabine Moussier	1966 births, Living people, Actors from North Rhine-Westphalia, Mexican stage actors, Mexican television actors
Claude Le Jeune	1528 births, 1530 births, 1600 deaths, Flemish people, French composers, People from Hauts-de-France, Renaissance composers
Steny Hoyer	1939 births, Living people, American Baptists, American lawyers, Politicians from New York City, United States representatives from Maryland, US Democratic Party politicians, Majority leaders of the United States House of Representatives
Sandy Lam	1966 births, Living people, C-pop singers, Chinese musicians, Singers from Hong Kong, Actors from Hong Kong
Chris Christie	1962 births, Living people, American Roman Catholics, Governors of New Jersey, People from Livingston, New Jersey, Politicians from Newark, New Jersey, 2016 United States presidential candidates, US Republican Party politicians
John Thune	1961 births, Living people, American Protestants, Evangelicals, People from Sioux Falls, South Dakota, United States representatives from South Dakota, United States senators from South Dakota, US Republican Party politicians
Nicholas Tse	1980 births, Living people, Actors from Hong Kong, Singers from Hong Kong, C-pop singers
Diana's Peak	Volcanoes of Africa, Saint Helena
Martin Balsam	1919 births, 1996 deaths, Academy Award winning actors, Actors from New York City, American movie actors, American radio actors, American stage actors, American television actors, American television personalities, American voice actors, Cardiovascular disease deaths in Italy, Deaths from myocardial infarction, Jewish American actors, Tony Award winning actors
Bárbara Rebolledo	1973 births, People from Talca, Chilean journalists, Chilean television presenters, Living people
Two-Minute Warning	1976 movies, 1970s action movies, American action movies, English-language movies, Movies directed by Larry Peerce
All the President's Men (movie)	1976 movies, 1970s crime drama movies, American thriller movies, Academy Award winning movies, American crime drama movies, English-language movies, Movies based on books, Movies set in Washington, D.C., Movies based on real life events, Watergate scandal, United States National Film Registry movies, Warner Bros. movies
Adolfo Ibáñez Boggiano	1880 births, 1949 deaths, Chilean businesspeople, People from Parral
Carl Bernstein	1944 births, Living people, American journalists, Writers from Washington, D.C.
Anne Veski	1956 births, Living people, Estonian singers
Luciana Echeverría	1991 births, People from Maule Region, Living people, Chilean television actors, Chilean movie actors, Chilean television presenters, Chilean singers
Francisco José Urrutia Holguín	1910 births, 1981 deaths, Ambassadors of Colombia, Colombian lawyers, People from Quito
United Empire Loyalists	American Revolutionary War
British North America	British Empire, History of North America
Millard Mitchell	1903 births, 1953 deaths, Deaths from lung cancer, American movie actors, American television actors, American stage actors, American radio actors, Golden Globe Award winning actors, People from Havana
Jean Arthur	1900 births, 1991 deaths, Deaths from heart failure, American silent movie actors, American movie actors, American television actors, American stage actors, American radio actors, Actors from New York, Actors from Maine
Howell Heflin	1921 births, 2005 deaths, American Methodists, American military personnel of World War II, Deaths from myocardial infarction, People from Tuscumbia, Alabama, Politicians from Georgia (U.S. state), Purple Heart recipients, United States senators from Alabama, US Democratic Party politicians
Ronald Colman	1891 births, 1958 deaths, Deaths from emphysema, English movie actors, English television actors, English stage actors, English radio actors, Actors from Surrey, Academy Award winning actors
Education in Cuba	Education by country, Cuba, Education in North America
Morganatic marriage	Marriage, Royalty and nobility
Cheranmadevi	Settlements in Tamil Nadu
Nanguneri	Towns in India, Settlements in Tamil Nadu
Tirunelveli district	Tirunelveli District
Panchayat town	Local government, India
Translocation (botany)	Plant physiology
List of classical music composers by period	Lists of people, Composers by historical period, Timelines, Music history
Malik Rabnawaz Noon	Punjabi people, Pakistani lawyers, 2010 deaths, 1947 births
Clara Oswald	Doctor Who characters
Zuffa	2001 establishments in the United States, Mixed martial arts organizations, Ultimate Fighting Championship, Las Vegas, Nevada, 2000s establishments in Nevada
Zither	String instruments
Composite Compound 4	Explosives
Additive	Chemistry
Semtex	Explosives
John S. McCain Jr.	1911 births, 1981 deaths, American people of World War II, Burials at Arlington National Cemetery, Deaths from myocardial infarction, People from Iowa, People from Washington, D.C.
Roberta McCain	1912 births, 2020 deaths, American centenarians, People from Oklahoma, Twin people from the United States
The Boy in the Striped Pyjamas (movie)	2008 drama movies, 2000s war movies, American drama movies, American war movies, British drama movies, British war movies, English-language movies, Historical movies, Movies based on books, Movies set in Germany, Movies set in the 1940s, World War II movies
Iverna Codina	1912 births, People from Quillota, 2010 deaths, Argentine writers
Sterilization (microbiology)	Microbiology
Para-alpine skiing classification	Paralympic Games, Skiing
La tempestad	2013 television series debuts, Telenovelas, Mexican television series, 2010s establishments in Mexico
Jeremy Shada	1997 births, American child actors, American television actors, American voice actors, Living people, American singers
Teresita Reyes	1948 births, People from Puerto Montt, Living people, Chilean television actors, Chilean movie actors, Chilean stage actors
Isabella Acres	2001 births, Actors from Atlanta, Georgia, American child actors, American television actors, Living people, American movie actors
Chapman Pincher	1914 births, 2014 deaths, British journalists, British historians, British centenarians
Margot Kahl	1961 births, People from Puerto Varas, Living people, Chilean television presenters, Chilean engineers
John S. McCain Sr.	1884 births, 1945 deaths, American military personnel of World War I, American military personnel of World War II, Burials at Arlington National Cemetery, Cardiovascular disease deaths in the United States, Deaths from myocardial infarction, People from Mississippi
Our Lady of La Vang	Catholicism, Marian apparitions, Religion in Vietnam
Nicolas Berejny	French skiers, 1968 births, Living people
Chris Williamson	Canadian sportspeople, Canadian skiers, 1972 births, Living people
Ignacio Gutiérrez	1976 births, People from Maule Region, Living people, Chilean journalists, Chilean television presenters
Vincent Gauthier-Manuel	French skiers, 1986 births, Living people
Our Lady of Good Health	Catholicism, History of Tamil Nadu, Marian apparitions
Vanessa Aguilera	1989 births, People from La Araucanía Region, Living people, Chilean singers, Chilean television actors, Songwriters
Thomas Pfyl	Swiss sportspeople, Skiers, 1987 births, Living people, Competitors at the 2018 Winter Paralympics
Akira Kano	Japanese skiers, 1986 births, Living people
Taiki Morii	Japanese skiers, 1980 births, Living people
Robin Femy	Canadian skiers, Living people, 1989 births, Sighted guides
Gregory Nouhaud	French skiers, Living people, 1982 births, Sighted guides
Miguel Galindo Garcés	Spanish skiers, 1981 births, Living people, Spanish Paralympic gold medalists, Spanish Paralympic silver medalists, 2010 Winter Paralympics, 2006 Winter Paralympics, 2002 Winter Paralympics, Sighted guides, Competitors at the 2018 Winter Paralympics
Quarantine	Infectious diseases, Security, History of medicine
Jakub Krako	Slovakian skiers, 1990 births, Living people
Takeshi Suzuki	Japanese skiers, 1988 births, Living people
Periyar E. V. Ramasamy	Tamil activists, 1879 births, 1973 deaths, Tamil Nadu politicians
Yohann Taberlet	French skiers, 1981 births, Living people, Competitors at the 2018 Winter Paralympics
Toby Kane	Australian skiers, 1986 births, Living people
Cyclone Viyaru	Cyclonic storms, May 2013 events, 2013 in weather, 21st century in Sri Lanka, 2010s in Thailand, History of Myanmar, 2010s in Bangladesh, 2013 in India
Thomas Nolte	1984 births, Living people, German skiers
Henrieta Farkašová	Slovakian skiers, 1986 births, Living people, Competitors at the 2018 Winter Paralympics
Natália Šubrtová	1989 births, Living people, Sighted guides, Slovakian skiers
Engineering tolerance	Engineering
Melissa Perrine	Australian skiers, 1988 births, Living people, Sportspeople from New South Wales, Sportspeople with disabilities, type B2, Competitors at the 2018 Winter Paralympics
Andrew Bor	Sportspeople from Queensland, Australian skiers, Living people, 1963 births, Coaches, Sighted guides
Alexandra Frantseva	Russian sportspeople, Skiers, Living people, 1987 births
Bioturbation	Ecology, Sedimentology
Paradip	Towns in India, Odisha
Para-alpine skiing	Skiing
European badger	Mustelids, Mammals of Europe
Outrigger skis	Skiing equipment
Industrial and Commercial Bank of China	1984 establishments in Asia, Banks, 1980s establishments in China
Nellaiappar Temple	Hindu temples, Temples in India, Tirunelveli District, 7th century establishments in India
Cooling tower	Towers, Engineering
Gakkel Ridge	Mountain ranges, Arctic, Oceanography
Autotransplantation	Surgery, Animal tissues
Xenotransplantation	Surgery, Organs, Animal tissues
Eddie Mabo	1936 births, 1992 deaths, Indigenous Australian activists, Deaths from cancer, People from Queensland
Cecilia Bolocco	1965 births, Living people, People from Santiago, Chilean models, Chilean television presenters, Chilean television actors, Fashion designers
Júnior Fernándes	1988 births, Living people, People from Antofagasta Region, Chilean footballers
Johanns Dulcien	1991 births, Living people, People from Antofagasta Region, Chilean footballers
Peter Browne	1590s births, 1633 deaths, Mayflower passengers
Ross Turnbull	1985 births, Living people, English footballers, Sportspeople from County Durham, Premier League players
Football Champ	1990 video games, Arcade games, Sports video games
Bar-tailed godwit	Scolopacidae
Sandpiper	Scolopacidae
Saint Helena plover	Charadriiformes, Saint Helena, Saint Helena, Ascension and Tristan da Cunha
The Good Dinosaur	2010s adventure movies, 2015 animated movies, 2015 comedy-drama movies, 2010s fantasy movies, American adventure movies, American animated movies, American comedy-drama movies, American family movies, American fantasy movies, Computer-animated movies, Movies about dinosaurs, Pixar movies
Jessica DiCicco	1980 births, Actors from New York City, American child actors, American movie actors, American voice actors, American television actors, American video game actors, Living people, Actors from Los Angeles, California, Singers from Los Angeles, California, Singers from New York City
Dick Trickle	1941 births, 2013 deaths, Suicides by firearm, NASCAR drivers, People from Wisconsin
Henrique Rosa	1946 births, 2013 deaths, Deaths from lung cancer, Presidents of Guinea-Bissau
Paul Shane	1940 births, 2013 deaths, Actors from Yorkshire, Comedians from Yorkshire, Disease-related deaths in England, English movie actors, English stage actors, English television actors, English voice actors
P. J. Carlesimo	1949 births, Living people, National Basketball Association coaches, People from Scranton, Pennsylvania, Sportspeople from Pennsylvania
Thaler	Currency, History of Europe
Ann Sheridan	1915 births, 1967 deaths, Deaths from esophageal cancer, Deaths from liver cancer, American silent movie actors, American movie actors, American television actors, American radio actors, American stage actors, Actors from Texas, People from Denton, Texas
Merian C. Cooper	1893 births, 1973 deaths, Actors from Florida, American cinematographers, American military personnel of World War I, American military personnel of World War II, American movie actors, American movie directors, American movie producers, American screenwriters, Deaths from cancer, Writers from Florida
Fay Wray	Actors from Alberta, Canadian movie actors, Canadian television actors, Canadian stage actors, American movie actors, American television actors, American stage actors, Deaths from natural causes, 1907 births, 2004 deaths
Jon Hamm	1971 births, Living people, Democrats (United States), American movie actors, American television actors, American voice actors, American stage actors, Actors from St. Louis, Missouri, Screen Actors Guild Award winners, Golden Globe Award winning actors
Kelly Gallagher	1987 births, Living people, Competitors at the 2018 Winter Paralympics, Northern Irish sportspeople, Skiers
Charlotte Evans	British sportspeople, Skiers, Living people, Sighted guides
Andrea Rothfuss	Living people, 1989 births, German skiers, Sportspeople from Baden-Württemberg
Frankenweenie (2012 movie)	2012 movies, 2012 animated movies, American animated movies, American comedy movies, American horror movies, Black-and-white movies, Disney movie remakes, Movies about dogs, Movies directed by Tim Burton, Movies composed by Danny Elfman, English-language movies
Marie Bochet	French skiers, Living people, 1994 births, Competitors at the 2018 Winter Paralympics
A Christmas Carol (2009 movie)	2009 animated movies, 2009 3D movies, 2009 comedy-drama movies, Disney movies, Movies based on books, American animated movies, American fantasy movies, American comedy-drama movies, Christmas movies, English-language movies, Movies based on books by Charles Dickens, Movies directed by Robert Zemeckis
Puss in Boots (2011 movie)	2011 animated movies, American animated movies, Movie spin-offs, Prequel movies, Shrek, English-language movies, Movies about cats
Solène Jambaqué	French skiers, Living people, 1988 births
Our Lady of La Salette	Marian apparitions, History of France
Petra Smarzova	20th century births, Living people, 2014 Winter Olympics, Slovakian skiers, Year of birth missing (living people)
Division of Blaxland	Electoral divisions of Australia, New South Wales, 1949 establishments in Australia
Alana Nichols	American wheelchair basketball players, American skiers, Sportspeople from New Mexico, Living people, 1983 births
Division of Bennelong	Electoral divisions of Australia, New South Wales, 1949 establishments in Australia
Bennelong	1764 births, 1813 deaths, Indigenous Australian people, People from Sydney
Laurie Stephens	American skiers, Living people
Murugan	Hindu gods and goddesses, Tamil culture
Claudia Lösch	Austrian sportspeople, Skiers, Living people, 1988 births, Competitors at the 2018 Winter Paralympics
Anna Schaffelhuber	1993 births, Living people, German skiers, People from Regensburg, Sportspeople from Bavaria, Competitors at the 2018 Winter Paralympics
2011 IPC Alpine Skiing World Championships	2011 in sports, Piedmont, Skiing, 2011 in Europe, 2010s in Italy
Miguel Carol	Spanish swimmers, Living people, 1962 births, Spanish Paralympic silver medalists, Sportspeople from Madrid, 1968 Summer Paralympics, Sportspeople with disabilities, type S3
María Carmen Riu Pascual	Spanish swimmers, Living people, 1951 births, Spanish Paralympic silver medalists, Sportspeople from Barcelona, 1968 Summer Paralympics, Sportspeople with disabilities, type S3
Francisco Benitez	Spanish swimmers, Living people, 1962 births, Spanish Paralympic silver medalists, Spanish Paralympic bronze medalists, Sportspeople from Madrid, 1972 Summer Paralympics
Beltrand de Five Pranger	Spanish swimmers, Living people, 1950 births, Spanish Paralympic silver medalists, Spanish Paralympic gold medalists, Sportspeople from Barcelona, 1972 Summer Paralympics, 1976 Summer Paralympics
Antonio Delgado Palomo	Spanish athletes, 2021 deaths, Deaths from throat cancer, 1957 births, Spanish Paralympic gold medalists, Sportspeople from Andalusia, People from Seville, 1976 Summer Paralympics
Eloy Guerrero Asensio	Spanish athletes, Living people, 1962 births, Spanish Paralympic silver medalists, Sportspeople from Barcelona, 1976 Summer Paralympics, Sportspeople with disabilities, type T42
Julio Gutierrez García	Spanish athletes, Living people, 1962 births, Spanish Paralympic silver medalists, Sportspeople from Madrid, 1976 Summer Paralympics, Sportspeople with disabilities, type B2, Sportspeople with disabilities, type T12
María Teresa Herreras López	Spanish swimmers, Living people, 1962 births, Spanish Paralympic silver medalists, Spanish Paralympic bronze medalists, People from Valladolid, 1976 Summer Paralympics, Sportspeople with disabilities, type S3
Self-fulfilling prophecy	Human behavior, Sociology, Causality
José Santos Poyatos	Spanish athletes, Living people, 1962 births, Spanish Paralympic bronze medalists, Spanish Paralympic silver medalists, Sportspeople from Barcelona, 1976 Summer Paralympics
Susana Herrera	Spanish skiers, 2019 deaths, 1962 births, Spanish Paralympic gold medalists, Spanish Paralympic bronze medalists, People from Madrid, 1988 Winter Paralympics, Sportspeople with disabilities, type B1
Miguel Ángel Pérez Tello	Spanish skiers, Spanish cyclists, Living people, 1957 births, Spanish Paralympic gold medalists, Spanish Paralympic silver medalists, People from Granada, 1988 Winter Paralympics, 1992 Winter Paralympics, 1996 Summer Paralympics
Roberto Abenia	Spanish goalball players, Living people, 1972 births, Spanish Paralympic bronze medalists, People from Zaragoza, 1996 Summer Paralympics, 2000 Summer Paralympics, 2004 Summer Paralympics
Goalball	Paralympic Games, Blind sports
Wader	Charadriiformes
Ruben Alvarez Serrano	Spanish athletes, Living people, 1962 births, Spanish Paralympic gold medalists, Spanish Paralympic bronze medalists, Sportspeople from Barcelona, 1992 Summer Paralympics, 1996 Summer Paralympics, 2000 Summer Paralympics, Sportspeople with disabilities, type T42
Magda Amo Rius	Spanish athletes, Spanish skiers, Living people, 1973 births, Spanish Paralympic gold medalists, Spanish Paralympic silver medalists, Spanish Paralympic bronze medalists, Sportspeople from Barcelona, 1992 Winter Paralympics, 1994 Winter Paralympics, 1996 Summer Paralympics, 1998 Winter Paralympics, Sportspeople with disabilities, type B2, Sportspeople with disabilities, type T42
Vicenta Arenas Mayor	Spanish goalball players, Living people, 1975 births, Spanish Paralympic bronze medalists, People from the Community of Valencia, 1996 Summer Paralympics, People from Valencia
María Mercedes Capa Estrada	Spanish goalball players, Living people, 1980 births, Spanish Paralympic bronze medalists, People from Valladolid, 1996 Summer Paralympics, Sportspeople with disabilities, type B2
Concepcion Hernandez Diaz	Spanish goalball players, Living people, 1975 births, Spanish Paralympic bronze medalists, Spanish Paralympic silver medalists, Murcia, 1996 Summer Paralympics, 2000 Summer Paralympics, Sportspeople with disabilities, type B2
Chemical precipitation	Precipitation, Analytical chemistry, Physical chemistry
James Chilton	1550s births, 1620 deaths, Mayflower passengers, English people
Swag (album)	2002 albums
Swag (TV series)	2002 British television series debuts, 2004 British television series endings, 2000s British television series, British reality television series, Channel 5 (UK) television programmes, English-language television programs
Fort Minor	Hip hop bands, Musical groups from Los Angeles, California, Linkin Park
Tat soi	Vegetables
Ricardo Fernández	Spanish goalball players, Living people, 1976 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, Sportspeople with disabilities, type B1, People from the Community of Valencia
Hipolito González	Spanish goalball players, Living people, 1976 births, Spanish Paralympic bronze medalists, Sportspeople from Barcelona, 1996 Summer Paralympics, 2000 Summer Paralympics, Sportspeople with disabilities, type B2
Sara Luna Santana	Spanish goalball players, Living people, 1977 births, Spanish Paralympic bronze medalists, Spanish Paralympic silver medalists, Sportspeople from Barcelona, 1996 Summer Paralympics, 2000 Summer Paralympics, Sportspeople with disabilities, type B2
Jessica Malagón Moreno	Spanish goalball players, Living people, 1977 births, Spanish Paralympic bronze medalists, Spanish Paralympic silver medalists, Sportspeople from Barcelona, 1996 Summer Paralympics, 2000 Summer Paralympics, Sportspeople with disabilities, type B2
Jorge Mendoza	Spanish goalball players, Spanish athletes, Living people, 1972 births, Spanish Paralympic bronze medalists, Sportspeople from Barcelona, 1996 Summer Paralympics, 2000 Summer Paralympics, Sportspeople with disabilities, type B1, Sportspeople with disabilities, type T11
Francisco Muñoz Sanchez	Spanish goalball players, Living people, 1972 births, Spanish Paralympic bronze medalists, People from Valencia, 1996 Summer Paralympics
María Begoña Redal Giraldos	Spanish goalball players, Living people, 1975 births, Spanish Paralympic bronze medalists, Spanish Paralympic silver medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, People from Navarre
Jorge Rafael Videla	1925 births, 2013 deaths, Accidental deaths from falls, Argentine generals, Kidnappers, People from Buenos Aires, People who died in prison custody, Presidents of Argentina, Prisoners sentenced to life imprisonment
Ron Johnson	1955 births, Living people, United States senators from Wisconsin, Businesspeople from Wisconsin, Businesspeople from Minnesota, Politicians from Minnesota, US Republican Party politicians, People from Mankato, Minnesota
Tammy Baldwin	1962 births, Living people, Lesbians, LGBT people from Wisconsin, LGBT politicians, People from Madison, Wisconsin, United States representatives from Wisconsin, United States senators from Wisconsin, US Democratic Party politicians, State legislators of the United States, 21st-century American politicians, 20th-century American politicians
Rob Portman	1955 births, Living people, United States Trade Representatives, Directors of the Office of Management and Budget, United States senators from Ohio, United States representatives from Ohio, American lawyers, Politicians from Cincinnati, Ohio, US Republican Party politicians
2000 Summer Paralympics	2000 Summer Paralympics
Sherrod Brown	1952 births, Living people, United States senators from Ohio, United States representatives from Ohio, US Democratic Party politicians
2008 Summer Paralympics	2008 Summer Paralympics
Chuck Schumer	1950 births, Living people, Jewish American politicians, Politicians from New York City, United States representatives from New York, United States senators from New York, Minority leaders of the United States Senate, Majority leaders of the United States Senate, US Democratic Party politicians
1996 Summer Paralympics	1996 Summer Paralympics
1992 Summer Paralympics	1992 Summer Paralympics
1988 Summer Paralympics	1988 Summer Paralympics
Kirsten Gillibrand	1966 births, Living people, 2020 United States presidential candidates, United States senators from New York, United States representatives from New York, People from Albany, New York, US Democratic Party politicians
1984 Summer Paralympics	1984 in sports, Sports in New York City, Summer Paralympic Games, 1980s in New York (state), 1984 in the United States
1980 Summer Paralympics	1980 Summer Paralympics, 20th century in the Netherlands, Arnhem, 1980 in sports, 1980 in Europe
1976 Summer Paralympics	1976 Summer Paralympics, History of Toronto, 1976 in sports, 1976 in Canada
1972 Summer Paralympics	1972 Summer Paralympics
Sheldon Whitehouse	1955 births, Living people, United States senators from Rhode Island, American lawyers, Politicians from New York City, US Democratic Party politicians
1968 Summer Paralympics	1968 in sports, Sport in Israel, 1968 Summer Paralympics, 1960s in Israel, Tel Aviv
1964 Summer Paralympics	1964 in sports, Sport in Japan, Summer Paralympic Games, 20th century in Tokyo, 1960s in Japan
1960 Summer Paralympics	1960 in sports, 1960s in Italy, Rome, Sport in Italy, Summer Paralympic Games
Governor of Illinois	Governors of Illinois
Taylor County, Florida	Florida counties, 1856 establishments in the United States, 1850s establishments in Florida
Putnam County, Florida	Florida counties, 1849 establishments in the United States, 1840s establishments in Florida
Jack Reed	1949 births, Living people, American military people, American Roman Catholics, Harvard University alumni, Majors, United States representatives from Rhode Island, United States senators from Rhode Island, US Democratic Party politicians, People from Cranston, Rhode Island
Suwannee County, Florida	Florida counties, 1858 establishments in Florida
Walton County, Florida	Florida counties, 1824 establishments in Florida Territory
Manuel Berzal Burgos	Living people, 1962 births, 1996 Summer Paralympics, Spanish wheelchair basketball players, Spanish Paralympic bronze medalists, Sportspeople from Madrid
William Stratton	1914 births, 2001 deaths, Deaths from natural causes, Disease-related deaths in Chicago, Illinois, Burials at Rosehill Cemetery, Governors of Illinois, People acquitted of crimes, United States representatives from Illinois, US Republican Party politicians
José Cobos Benitez	Living people, 1963 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, Spanish wheelchair basketball players, People from Malaga
Diego De Paz Pazo	Living people, 1971 births, Spanish Paralympic bronze medalists, Spanish wheelchair basketball players, 1996 Summer Paralympics, 2012 Summer Paralympics, 4 point player, People from Seville
Len Small	1862 births, 1936 deaths, Deaths from heart failure, Cardiovascular disease deaths in Illinois, Governors of Illinois, US Democratic Party politicians
Alex Dreier	1916 births, 2000 deaths, Deaths from heart failure, American radio personalities, Emmy Award winners, People from Honolulu, Stanford University alumni
MetLife Stadium	National Football League venues, Sports in New Jersey, Buildings and structures in New Jersey, 2010 establishments in New Jersey
Antonio Henares Sierra	Living people, 1956 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, Spanish wheelchair basketball players, 4 point player, People from Malaga
Our Lady of Fatima	Marian apparitions
Juan José Lara Ortiz	Living people, 1965 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, Spanish wheelchair basketball players, 1 point player, People from Seville
Wheelchair basketball	Paralympic Games, Basketball
Eduardo Lopez Riaza	Living people, 1963 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, Spanish wheelchair basketball players, 1 point player, People from Madrid
Peter Schulz	1930 births, 2013 deaths, Mayors of Hamburg, People from Rostock, Politicians from Mecklenburg-Vorpommern, Politicians of the Social Democratic Party of Germany
Phil Ponce	1949 births, Living people, American television presenters, Writers from Indiana, People from East Chicago, Indiana, Journalists from Chicago
Pablo Martin Arteaga	Living people, 1965 births, Spanish Paralympic bronze medalists, Spanish wheelchair basketball players, 1996 Summer Paralympics, 2 point player, People from Valladolid
Betsy Palmer	1926 births, 2015 deaths, DePaul University alumni, American movie actors, American television actors, American stage actors, American voice actors, Actors from Indiana, Actors from Chicago, People from East Chicago, Indiana
Eustaquio Mira Ramos	Living people, 1962 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, Spanish wheelchair basketball players, People from Seville
Garry Moore	1915 births, 1993 deaths, Deaths from emphysema, Deaths from throat cancer, Comedians from Maryland, American television personalities, American radio personalities, American television presenters, American movie actors, American television actors, American stage actors, American voice actors, Actors from Baltimore, Maryland
Manuel Perez Luna	Living people, 1966 births, Spanish Paralympic bronze medalists, Spanish wheelchair basketball players, 1996 Summer Paralympics, 2 point player, People from Malaga
Shadrach Bond	1773 births, 1832 deaths, Deaths from pneumonia, Infectious disease deaths in Illinois, Governors of Illinois, Politicians from Maryland, Independent politicians in the United States
Manuel Rodríguez Navarro	Living people, 1969 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, Spanish wheelchair basketball players, 4 point player, People from the Canary Islands
Ninian Edwards	1775 births, 1833 deaths, Infectious disease deaths in Illinois, Governors of Illinois, United States senators from Illinois, Politicians from Maryland, People from Belleville, Illinois
